exchange,instrument,n_snaps,spread_med_c,spread_max_c,tick_step,bid_clean_pct,ask_clean_pct,bid_stacked_pct,ask_stacked_pct,mid_mean,mid_std,imb_corr_h5
NASDAQ,CARD,83,3,6,1,27.7,27.7,20.5,14.5,9886.0,321.5,-0.077
NASDAQ,DLKV,83,2,3,1,45.8,44.6,45.8,43.4,8708.8,143.9,-0.056
NASDAQ,ETFB,83,2,3,1,34.9,21.7,33.7,20.5,9243.8,46.0,-0.067
NASDAQ,ETFB3,83,2,3,1,41.0,26.5,38.6,22.9,9605.8,190.3,-0.146
NASDAQ,FSR,83,4,6,2,45.8,55.4,45.8,53.0,8983.9,46.2,0.098
NASDAQ,GOLD,83,2,6,1,60.2,68.7,60.2,68.7,9751.4,111.6,0.04
NASDAQ,HT,83,4,8,2,74.7,54.2,72.3,51.8,9537.3,110.9,-0.02
NASDAQ,INA,83,4,8,2,28.9,41.0,28.9,41.0,8789.5,167.9,-0.007
NASDAQ,KOTD,83,4,6,2,42.2,44.6,42.2,44.6,11317.3,358.4,-0.025
NASDAQ,NGUP,83,4,8,2,49.4,50.6,43.4,49.4,9286.8,453.7,0.008
NASDAQ,SIMP,83,2,4,1,55.4,36.1,53.0,36.1,9982.7,42.6,0.087
NASDAQ,ZITO,83,2,3,1,62.7,55.4,61.4,53.0,9508.1,30.9,-0.083
NSE,CARD,864,2,211,1,33.1,44.4,30.9,41.8,10247.9,478.8,0.088
NSE,DLKV,864,2,53,1,58.9,59.8,58.2,59.1,8755.7,116.1,-0.046
NSE,OIT,864,2,6,1,60.6,58.8,58.0,57.1,8481.5,298.4,0.07
NSE,SIMP,864,2,33,1,48.3,48.7,46.5,45.9,9980.3,44.1,-0.078
NSE,ZABA,864,2,6,1,56.5,74.2,55.2,74.0,7605.8,137.0,-0.013
NSE,ZITO,864,2,4,1,75.2,81.9,74.1,81.2,9523.2,46.8,0.003
NYSE,CARD,406,3,10,1,27.8,31.0,23.2,21.2,9875.0,353.8,-0.09
NYSE,DDJH,406,2,5,1,73.6,57.4,71.9,56.7,8363.1,311.3,-0.031
NYSE,ETFA,406,4,10,2,30.3,29.8,27.8,25.9,9079.0,56.3,-0.148
NYSE,ETFA3,406,4,10,2,27.6,24.9,22.7,22.4,9056.0,139.2,-0.132
NYSE,INA,406,4,25,2,49.3,35.0,42.6,29.8,8756.7,89.8,0.001
NYSE,JNAF,406,4,8,2,44.6,41.6,43.6,40.4,9054.7,492.9,-0.005
NYSE,JZRO,406,4,29,2,42.1,40.9,38.2,37.2,9338.9,153.0,-0.062
NYSE,KRAS,406,4,8,2,46.6,44.6,41.6,39.2,9706.2,583.8,0.033
NYSE,KTST,406,4,8,2,54.7,41.6,50.2,38.9,8744.2,81.7,-0.05
NYSE,MDKA,406,4,8,2,47.8,56.9,47.0,55.9,9786.6,720.9,-0.058
NYSE,NGUP,406,4,12,2,41.1,39.4,39.9,39.2,9285.1,301.6,-0.035
NYSE,SIMP,406,2,33,1,43.3,57.1,41.1,52.5,10018.1,33.8,-0.144
NYSE,XFR,406,4,10,2,48.0,44.1,47.8,43.6,9162.3,43.6,-0.007
NYSE,ZABA,406,2,5,1,65.3,57.4,61.6,53.2,7659.4,106.1,-0.012
SSE,CARD,239,2,6,1,44.4,42.3,41.4,37.7,9831.6,255.4,0.006
SSE,FSR,239,4,6,2,42.3,53.6,42.3,53.1,8982.2,66.7,-0.108
SSE,HT,239,4,12,2,48.5,58.6,47.3,58.6,9574.3,87.4,-0.12
SSE,KRAS,239,4,35,2,52.7,33.1,52.3,32.6,10114.9,512.1,-0.098
SSE,SIMP,239,2,6,1,37.2,50.2,34.3,44.4,9982.2,36.8,-0.142
SSE,ZABA,239,2,96,1,73.6,56.9,73.2,55.6,7577.4,130.8,-0.105
TMX,CARD,105,2,5,1,41.9,50.5,37.1,46.7,10191.6,245.6,0.133
TMX,DDJH,105,2,398,1,59.0,51.4,59.0,50.5,8045.1,396.4,-0.122
TMX,ETFA3,105,4,6,2,44.8,27.6,42.9,25.7,9081.7,124.6,-0.072
TMX,GOLD,105,2,6,1,52.4,73.3,52.4,72.4,9803.5,83.2,-0.168
TMX,HT,105,4,6,2,61.9,70.5,61.9,62.9,9577.2,51.5,0.16
TMX,JZRO,105,4,23,2,58.1,56.2,50.5,50.5,9442.1,395.3,-0.06
TMX,KRAS,105,4,6,2,47.6,57.1,47.6,56.2,10061.4,557.8,-0.026
TMX,KTST,105,4,8,2,57.1,54.3,52.4,50.5,8664.8,60.4,-0.04
TMX,MDKA,105,4,8,2,49.5,63.8,48.6,62.9,10632.1,582.6,0.014
TMX,NGUP,105,4,6,2,49.5,52.4,47.6,51.4,9453.9,378.9,-0.171
TMX,SIMP,105,2,5,1,53.3,61.9,51.4,59.0,9976.2,32.4,0.074
TMX,XFR,105,4,6,2,64.8,40.0,63.8,36.2,9142.3,47.0,-0.268
TMX,ZABA,105,2,4,1,61.9,42.9,54.3,37.1,7594.1,74.5,-0.024
ZSE,CARD,47,2,5,1,40.4,31.9,40.4,29.8,9656.2,411.5,-0.019
ZSE,DDJH,47,2,3,1,63.8,89.4,61.7,87.2,8374.4,188.9,-0.061
ZSE,DLKV,47,2,4,1,57.4,57.4,57.4,57.4,8752.3,183.6,0.105
ZSE,ETFA,47,4,8,2,42.6,31.9,40.4,29.8,9057.4,98.8,0.087
ZSE,ETFA3,47,4,8,2,29.8,40.4,27.7,34.0,9086.2,162.5,-0.187
ZSE,ETFB,47,2,3,1,40.4,42.6,34.0,34.0,9263.8,88.2,-0.019
ZSE,ETFB3,47,2,4,1,51.1,38.3,46.8,38.3,9640.7,215.1,-0.267
ZSE,ETFSH,47,2,3,1,63.8,44.7,46.8,40.4,9502.4,130.3,-0.38
ZSE,FSR,47,4,10,2,57.4,66.0,57.4,55.3,9020.1,74.0,0.183
ZSE,GOLD,47,2,4,1,53.2,61.7,53.2,61.7,9722.0,141.8,0.354
ZSE,HT,47,4,31,2,34.0,63.8,34.0,61.7,9596.8,151.8,-0.147
ZSE,INA,47,4,6,2,46.8,51.1,44.7,51.1,8731.6,135.8,0.487
ZSE,JNAF,47,4,6,2,53.2,63.8,51.1,63.8,8675.7,466.2,0.136
ZSE,JZRO,47,4,8,2,63.8,57.4,63.8,55.3,9303.5,201.4,-0.036
ZSE,KOTD,47,4,6,2,51.1,53.2,48.9,51.1,11429.5,384.1,0.079
ZSE,KRAS,47,4,6,2,70.2,72.3,68.1,70.2,10065.0,526.7,0.064
ZSE,KTST,47,4,8,2,40.4,61.7,38.3,59.6,8761.7,64.0,0.351
ZSE,MDKA,47,4,8,2,68.1,68.1,63.8,68.1,10256.3,651.2,-0.051
ZSE,NGUP,47,4,8,2,31.9,66.0,29.8,66.0,9354.9,318.7,0.132
ZSE,OIT,47,2,3,1,59.6,76.6,55.3,72.3,8647.5,435.7,-0.174
ZSE,SIMP,47,2,3,1,78.7,68.1,74.5,66.0,10027.3,24.1,-0.1
ZSE,XAG,47,4,6,2,46.8,40.4,44.7,38.3,9358.7,306.8,-0.116
ZSE,XFR,47,4,14,2,51.1,42.6,42.6,42.6,9200.3,56.6,0.044
ZSE,ZABA,47,2,3,1,87.2,83.0,80.9,83.0,7594.5,122.3,-0.053
ZSE,ZITO,47,2,3,1,89.4,85.1,89.4,85.1,9483.9,53.9,-0.125
