instrument,venue_a,venue_b,n,diff_mean_c,diff_std_c,diff_max_abs_c,abs_diff_>spread_%
SIMP,HKEX,JPX,2796,-21.56,41.12,119.5,90.5
SIMP,NASDAQ,ZSE,2727,-25.81,37.7,119.0,99.6
FSR,NASDAQ,SSE,2802,-14.93,47.42,117.0,98.3
SIMP,NASDAQ,SSE,2802,-12.76,49.5,117.0,94.5
SIMP,JPX,TMX,2152,18.39,41.52,108.5,96.8
SIMP,HKEX,SSE,2797,-12.6,46.27,107.5,90.4
SIMP,NYSE,SSE,2802,-10.39,47.85,106.5,98.1
SIMP,HKEX,TMX,2152,-1.18,33.35,106.5,99.0
SIMP,NASDAQ,NYSE,2809,-2.41,33.21,102.0,95.9
ZITO,LSE,ZSE,2727,-3.92,53.69,101.0,99.2
ZITO,LSE,NASDAQ,2732,-0.85,33.7,100.5,90.4
SIMP,TMX,ZSE,2152,-11.39,36.52,97.5,92.6
SIMP,NYSE,ZSE,2727,-23.58,43.39,94.5,98.7
SIMP,LSE,TMX,2152,18.58,50.42,92.0,90.7
SIMP,NASDAQ,TMX,2152,-27.8,28.96,92.0,98.8
ZITO,Euronext,NASDAQ,2806,-12.69,33.21,85.0,81.7
SIMP,NYSE,TMX,2152,-25.04,29.93,76.0,95.4
ZITO,NASDAQ,ZSE,2727,-3.09,35.62,74.0,99.3
