index,instrument,open,high,low,close,volume
569,NSE-ZITO,7500,7533,7495,7533,1647
570,NSE-CARD,9794,10045,9334,10038,6151
570,NSE-DLKV,8984,9006,8946,8981,890
570,NSE-OIT,9120,9127,9089,9097,1598
570,NSE-SIMP,9980,9980,9936,9940,3830
570,NSE-ZABA,9863,9917,9859,9913,615
570,NSE-ZITO,7527,7561,7517,7541,1857
571,NSE-CARD,10028,10304,10002,10301,5407
571,NSE-DLKV,8979,8986,8941,8958,1430
571,NSE-OIT,9099,9123,9072,9121,1477
571,NSE-SIMP,9966,9972,9933,9946,5499
571,NSE-ZABA,9910,9927,9884,9913,1376
571,NSE-ZITO,7532,7549,7518,7518,1297
572,NSE-CARD,10260,10298,10012,10034,5060
572,NSE-DLKV,8947,8979,8935,8977,1029
572,NSE-OIT,9121,9136,9090,9124,2184
572,NSE-SIMP,9962,9998,9936,9970,8201
572,NSE-ZABA,9922,9944,9897,9909,1232
572,NSE-ZITO,7528,7560,7522,7536,2058
573,NSE-CARD,10009,10069,9993,10039,3971
573,NSE-DLKV,8979,9034,8969,9034,1288
573,NSE-OIT,9107,9147,9103,9130,2325
573,NSE-SIMP,9972,10008,9927,9960,7717
573,NSE-ZABA,9899,9931,9895,9925,949
573,NSE-ZITO,7531,7558,7523,7558,2427
574,NSE-CARD,10049,10148,10031,10124,4686
574,NSE-DLKV,9015,9025,9000,9018,1952
574,NSE-OIT,9114,9133,9107,9107,1104
574,NSE-SIMP,9952,9996,9950,9981,7598
574,NSE-ZABA,9921,9941,9881,9917,1308
574,NSE-ZITO,7553,7580,7551,7564,2191
575,NSE-CARD,10128,10165,9835,10113,7899
575,NSE-DLKV,9007,9042,9004,9042,1383
575,NSE-OIT,9119,9119,9086,9086,620
575,NSE-SIMP,9952,10016,9937,9943,8168
575,NSE-ZABA,9915,9924,9879,9914,2255
575,NSE-ZITO,7574,7604,7571,7590,2926
576,NSE-CARD,10126,10210,10113,10204,4156
576,NSE-DLKV,9031,9047,9016,9018,2457
576,NSE-OIT,9086,9100,9070,9100,1715
576,NSE-SIMP,9951,10060,9943,9943,9831
576,NSE-ZABA,9915,9915,9846,9859,1938
576,NSE-ZITO,7591,7629,7588,7621,3479
577,NSE-CARD,10211,10211,10083,10092,3882
577,NSE-DLKV,9020,9023,8991,9011,1177
577,NSE-OIT,9091,9114,9083,9114,819
577,NSE-SIMP,9971,9988,9942,9961,8028
577,NSE-ZABA,9861,9900,9855,9887,1271
577,NSE-ZITO,7594,7634,7591,7604,3066
578,NSE-CARD,10090,10271,10083,10267,4910
578,NSE-DLKV,9018,9029,8976,9001,1717
578,NSE-OIT,9126,9126,9077,9108,2100
578,NSE-SIMP,9975,9998,9928,9961,10809
578,NSE-ZABA,9890,9921,9836,9863,1398
578,NSE-ZITO,7611,7613,7581,7584,1578
579,NSE-CARD,10270,10275,10053,10054,5691
579,NSE-DLKV,8987,9010,8955,8976,3244
579,NSE-OIT,9110,9146,9094,9126,2591
579,NSE-SIMP,9971,9990,9947,9947,7553
579,NSE-ZABA,9869,9921,9867,9907,1296
579,NSE-ZITO,7583,7583,7540,7540,1692
580,NSE-CARD,10052,10308,10049,10302,5846
580,NSE-DLKV,8993,8995,8961,8961,2489
580,NSE-OIT,9129,9140,9114,9140,1426
580,NSE-SIMP,9939,9991,9929,9960,8051
580,NSE-ZABA,9902,9921,9881,9909,1172
580,NSE-ZITO,7556,7559,7531,7541,2019
581,NSE-CARD,10307,10443,9835,10427,4134
581,NSE-DLKV,8955,8981,8933,8933,3255
581,NSE-OIT,9143,9147,9083,9084,1604
581,NSE-SIMP,9941,9987,9879,9987,7444
581,NSE-ZABA,9893,9916,9875,9910,923
581,NSE-ZITO,7537,7554,7522,7554,1824
582,NSE-CARD,10427,10443,10301,10301,3285
582,NSE-DLKV,8932,8961,8916,8957,2183
582,NSE-OIT,9093,9110,9059,9110,1180
582,NSE-SIMP,9966,9984,7000,9957,8533
582,NSE-ZABA,9888,9908,9872,9906,271
582,NSE-ZITO,7551,7587,7548,7575,932
583,NSE-CARD,10295,10315,10279,10314,2670
583,NSE-DLKV,8938,8982,8934,8982,2708
583,NSE-OIT,9094,9144,9058,9144,2868
583,NSE-SIMP,9967,9976,9926,9976,9223
583,NSE-ZABA,9906,9944,9879,9940,1109
583,NSE-ZITO,7561,7615,7559,7600,2462
584,NSE-CARD,10311,10465,10278,10462,5012
584,NSE-DLKV,8992,9028,8973,8998,3609
584,NSE-OIT,9144,9168,9127,9168,3365
584,NSE-SIMP,9953,13000,9923,9923,12625
584,NSE-ZABA,9943,9945,9872,9888,1724
584,NSE-ZITO,7612,7619,7596,7605,3885
585,NSE-CARD,10465,10481,10225,10245,6807
585,NSE-DLKV,8994,9037,8980,9034,1417
585,NSE-OIT,9161,9197,9131,9189,4716
585,NSE-SIMP,9921,9965,7000,9963,12003
585,NSE-ZABA,9882,9938,9874,9876,2243
585,NSE-ZITO,7606,7636,7596,7610,3382
586,NSE-CARD,10256,10497,10214,10464,6499
586,NSE-DLKV,9035,9063,9034,9062,1321
586,NSE-OIT,9194,9203,9173,9184,2247
586,NSE-SIMP,9953,10008,7000,9980,10027
586,NSE-ZABA,9874,9908,9862,9898,2507
586,NSE-ZITO,7614,7621,7593,7613,1943
587,NSE-CARD,10492,10496,10242,10397,5527
587,NSE-DLKV,9056,9080,9041,9050,1674
587,NSE-OIT,9175,9205,9175,9198,1156
587,NSE-SIMP,9976,10001,9963,9986,9115
587,NSE-ZABA,9898,9943,9896,9913,2548
587,NSE-ZITO,7613,7656,7613,7650,2179
588,NSE-CARD,10278,10402,9986,9992,8418
588,NSE-DLKV,9050,9098,9050,9095,1415
588,NSE-OIT,9198,9227,9176,9211,4316
588,NSE-SIMP,9991,10321,9947,9997,4520
588,NSE-ZABA,9921,9956,9908,9924,4337
588,NSE-ZITO,7635,7664,7628,7657,3948
589,NSE-CARD,9990,10006,9807,9844,4493
589,NSE-DLKV,9091,9118,9073,9075,1888
589,NSE-OIT,9216,9231,9195,9215,1762
589,NSE-SIMP,9992,10016,9962,9962,6688
589,NSE-ZABA,9930,9941,9871,9871,3258
589,NSE-ZITO,7658,7688,7656,7688,1049
590,NSE-CARD,9852,9867,9730,9735,6029
590,NSE-DLKV,9082,9149,9081,9129,1244
590,NSE-OIT,9212,9242,9200,9200,1133
590,NSE-SIMP,9959,10040,9952,10017,5464
590,NSE-ZABA,9882,9944,9879,9944,3198
590,NSE-ZITO,7689,7690,7665,7676,673
591,NSE-CARD,9741,9790,9659,9674,5562
591,NSE-DLKV,9127,9142,9105,9112,2350
591,NSE-OIT,9221,9267,9221,9229,957
591,NSE-SIMP,10010,10027,9963,10000,5962
591,NSE-ZABA,9945,9949,9877,9910,3761
591,NSE-ZITO,7676,7681,7660,7663,1572
592,NSE-CARD,9675,9721,9623,9708,6414
592,NSE-DLKV,9110,9145,9100,9114,2922
592,NSE-OIT,9228,9257,9226,9226,789
592,NSE-SIMP,10015,10026,9997,10022,3790
592,NSE-ZABA,9912,9940,9890,9904,3418
592,NSE-ZITO,7665,7667,7639,7639,2393
635,NSE-CARD,9617,9846,9398,9398,6563
635,NSE-DLKV,8973,8984,8944,8944,3605
635,NSE-OIT,9148,9159,9116,9123,2495
635,NSE-SIMP,10062,10064,10036,10043,2767
635,NSE-ZABA,10059,10116,10038,10114,1151
635,NSE-ZITO,7040,7044,7023,7038,2644
636,NSE-CARD,9411,9547,9391,9523,7542
636,NSE-DLKV,8943,9005,8941,8980,3520
636,NSE-OIT,9142,9142,9101,9101,2025
636,NSE-SIMP,10059,10081,10025,10049,3910
636,NSE-ZABA,10068,10169,10068,10159,2567
636,NSE-ZITO,7046,7066,7042,7051,2453
637,NSE-CARD,9505,9901,9499,9610,5629
637,NSE-DLKV,8980,9048,8980,9028,2324
637,NSE-OIT,9113,9140,9083,9128,1100
637,NSE-SIMP,10066,10067,10045,10048,2494
637,NSE-ZABA,10152,10230,10148,10199,2319
637,NSE-ZITO,7053,7077,7053,7076,977
638,NSE-CARD,9611,9926,9567,9578,5515
638,NSE-DLKV,9019,9037,8990,8990,2562
638,NSE-OIT,9106,9128,9089,9127,2031
638,NSE-SIMP,10046,10059,10012,10029,3477
638,NSE-ZABA,10197,10229,10169,10227,1245
638,NSE-ZITO,7061,7061,7036,7036,2169
639,NSE-CARD,9567,9623,9477,9501,5472
639,NSE-DLKV,9000,9022,8966,8995,860
639,NSE-OIT,9132,9132,9064,9071,2222
639,NSE-SIMP,10024,10040,10020,10040,3561
639,NSE-ZABA,10218,10281,10191,10196,1821
639,NSE-ZITO,7033,7042,7004,7005,856
640,NSE-CARD,9504,9515,9459,9463,3525
640,NSE-DLKV,8995,9010,8985,8997,1184
640,NSE-OIT,9088,9101,9067,9077,2176
640,NSE-SIMP,10030,10070,10030,10040,2995
640,NSE-ZABA,10196,10226,10181,10203,1142
640,NSE-ZITO,7007,7039,6987,7039,604
641,NSE-CARD,9457,9638,9455,9631,6474
641,NSE-DLKV,8991,9027,8974,9025,1053
641,NSE-OIT,9086,9122,9071,9117,3249
641,NSE-SIMP,10048,10049,9998,10005,2326
641,NSE-ZABA,10221,10272,10212,10264,766
641,NSE-ZITO,7019,7045,7004,7045,1171
642,NSE-CARD,9626,9892,9520,9892,5455
642,NSE-DLKV,9028,9035,8998,9030,984
642,NSE-OIT,9124,9124,9108,9111,2513
642,NSE-SIMP,10011,10049,10008,10038,2960
642,NSE-ZABA,10272,10332,10272,10329,1073
642,NSE-ZITO,7039,7057,7037,7056,600
643,NSE-CARD,9885,9923,9520,9764,6986
643,NSE-DLKV,9036,9072,9036,9072,1168
643,NSE-OIT,9124,9134,9103,9119,1572
643,NSE-SIMP,10032,10039,10002,10015,5150
643,NSE-ZABA,10312,10335,10300,10316,902
643,NSE-ZITO,7046,7076,7042,7076,1086
644,NSE-CARD,9773,9888,9646,9650,5295
644,NSE-DLKV,9074,9097,9045,9094,1011
644,NSE-OIT,9121,9185,9121,9170,1606
644,NSE-SIMP,10014,10047,10004,10044,4493
644,NSE-ZABA,10323,10426,10321,10426,743
644,NSE-ZITO,7054,7055,7007,7009,2815
645,NSE-CARD,9653,9847,9646,9846,4124
645,NSE-DLKV,9090,9090,9013,9013,706
645,NSE-OIT,9162,9215,9144,9157,627
645,NSE-SIMP,10024,10041,10006,10006,2376
645,NSE-ZABA,10414,10414,10355,10355,353
645,NSE-ZITO,7023,7023,6976,6979,3312
646,NSE-CARD,9846,9888,9540,9561,7063
646,NSE-DLKV,9019,9047,9008,9023,1440
646,NSE-OIT,9157,9180,9121,9121,3146
646,NSE-SIMP,10003,10022,9978,9978,3513
646,NSE-ZABA,10363,10393,10359,10381,1311
646,NSE-ZITO,6988,6991,6978,6981,2256
647,NSE-CARD,9543,9659,9457,9651,4725
647,NSE-DLKV,9025,9089,9025,9057,361
647,NSE-OIT,9129,9161,9115,9115,1323
647,NSE-SIMP,9976,10010,9967,9984,2850
647,NSE-ZABA,10393,10405,10366,10405,1512
647,NSE-ZITO,6974,7024,6974,7024,1884
648,NSE-CARD,9644,9914,9632,9883,6082
648,NSE-DLKV,9091,9091,9065,9075,737
648,NSE-OIT,9142,9156,9113,9131,653
648,NSE-SIMP,9993,10010,9988,9996,2374
648,NSE-ZABA,10396,10398,10368,10377,2469
648,NSE-ZITO,7022,7047,7019,7035,2798
649,NSE-CARD,9908,9911,9718,9718,5194
649,NSE-DLKV,9077,9077,9041,9048,2305
649,NSE-OIT,9144,9163,9121,9121,1108
649,NSE-SIMP,9997,10013,9973,9980,3556
649,NSE-ZABA,10379,10423,10379,10423,4319
649,NSE-ZITO,7036,7058,7030,7055,3437
650,NSE-CARD,9725,9735,9535,9550,2907
650,NSE-DLKV,9048,9050,9000,9011,4081
650,NSE-OIT,9138,9162,9120,9155,1648
650,NSE-SIMP,9974,9976,9937,9948,4201
650,NSE-ZABA,10423,10449,10398,10400,1120
650,NSE-ZITO,7062,7083,7038,7078,2893
651,NSE-CARD,9548,9552,9361,9361,4098
651,NSE-DLKV,9010,9010,8980,8997,2113
651,NSE-OIT,9155,9180,9152,9175,1307
651,NSE-SIMP,9946,9998,9936,9982,2496
651,NSE-ZABA,10412,10429,10376,10384,1219
651,NSE-ZITO,7067,7070,7050,7063,1854
652,NSE-CARD,9371,9650,7000,9625,4906
652,NSE-DLKV,9000,9056,8973,9056,2447
652,NSE-OIT,9169,9185,9160,9171,891
652,NSE-SIMP,9984,10018,9980,10014,6355
652,NSE-ZABA,10376,10419,10376,10411,810
652,NSE-ZITO,7065,7084,7063,7080,3455
653,NSE-CARD,9629,9653,9513,9513,5056
653,NSE-DLKV,9056,9066,9015,9040,2060
653,NSE-OIT,9188,9212,9182,9182,872
653,NSE-SIMP,10009,10020,9973,10010,4247
653,NSE-ZABA,10418,10425,10410,10410,465
653,NSE-ZITO,7086,7102,7070,7096,3351
654,NSE-CARD,9518,9690,9515,9672,4558
654,NSE-DLKV,9029,9051,8999,9010,1276
654,NSE-OIT,9191,9191,9149,9161,2211
654,NSE-SIMP,10014,10039,9998,10009,2076
654,NSE-ZABA,10416,10416,10386,10387,480
654,NSE-ZITO,7091,7092,7069,7070,2390
655,NSE-CARD,9689,9855,9660,9748,9373
655,NSE-DLKV,9011,9051,9000,9024,4114
655,NSE-OIT,9173,9218,9169,9189,2649
655,NSE-SIMP,10008,10058,10004,10040,8648
655,NSE-ZABA,10394,10400,10364,10368,1170
655,NSE-ZITO,7068,7104,7066,7099,5147
656,NSE-CARD,9745,9950,9656,9678,10397
656,NSE-DLKV,9020,9067,9011,9067,3396
656,NSE-OIT,9188,9226,9178,9212,1386
656,NSE-SIMP,10012,10029,9970,9980,9374
656,NSE-ZABA,10368,10394,10328,10394,1680
656,NSE-ZITO,7086,7088,7067,7084,1937
657,NSE-CARD,9663,9896,9629,9875,8304
657,NSE-DLKV,9037,9054,9022,9027,1751
657,NSE-OIT,9207,9238,9205,9230,2039
657,NSE-SIMP,9984,10002,9955,9959,6283
657,NSE-ZABA,10399,10463,10395,10441,1032
657,NSE-ZITO,7091,7094,7066,7067,2408
658,NSE-CARD,9869,9973,9679,9973,6701
658,NSE-DLKV,9024,9066,9022,9048,1754
658,NSE-OIT,9228,9230,9196,9204,1574
658,NSE-SIMP,9965,10019,9961,9984,6835
658,NSE-ZABA,10414,10430,10400,10402,900
658,NSE-ZITO,7068,7094,7057,7092,2487
659,NSE-CARD,9944,9976,9679,9688,5165
659,NSE-DLKV,9058,9061,9015,9015,1629
659,NSE-OIT,9198,9211,9179,9193,1696
659,NSE-SIMP,9992,9999,9973,9978,5543
659,NSE-ZABA,10390,10453,10386,10451,387
659,NSE-ZITO,7093,7096,7059,7084,2111
660,NSE-CARD,9673,9902,9663,9663,5130
660,NSE-DLKV,9014,9059,9012,9033,912
660,NSE-OIT,9207,9249,9198,9198,2270
660,NSE-SIMP,9983,9988,9962,9981,4285
660,NSE-ZABA,10456,10558,10456,10549,1233
660,NSE-ZITO,7078,7122,7067,7091,1013
661,NSE-CARD,9847,9862,9753,9767,5648
661,NSE-DLKV,9031,9032,8996,9031,1276
661,NSE-OIT,9188,9218,9187,9212,1111
661,NSE-SIMP,9969,9980,9956,9968,4134
661,NSE-ZABA,10562,10563,10519,10536,796
661,NSE-ZITO,7100,7122,7098,7114,954
662,NSE-CARD,9765,9848,9668,9793,4476
662,NSE-DLKV,9029,9068,9004,9051,1461
662,NSE-OIT,9216,9245,9195,9219,1397
662,NSE-SIMP,9965,9993,9962,9993,5613
662,NSE-ZABA,10538,10568,10523,10537,1073
662,NSE-ZITO,7118,7151,7118,7148,1276
663,NSE-CARD,9825,9962,9814,9960,7991
663,NSE-DLKV,9065,9065,8980,8980,2308
663,NSE-OIT,9197,9241,9195,9204,3136
663,NSE-SIMP,9963,10008,9956,9985,5476
663,NSE-ZABA,10524,10562,10511,10549,1011
663,NSE-ZITO,7141,7156,7125,7142,2601
664,NSE-CARD,9965,9972,9699,9729,9374
664,NSE-DLKV,8975,9004,8951,8984,1810
664,NSE-OIT,9200,9232,9191,9204,2258
664,NSE-SIMP,9986,9991,9933,9956,6075
664,NSE-ZABA,10565,10568,10501,10512,1051
664,NSE-ZITO,7121,7135,7107,7110,1417
665,NSE-CARD,9714,9972,9436,9440,6820
665,NSE-DLKV,8980,8982,8932,8963,1677
665,NSE-OIT,9205,9220,9177,9197,1070
665,NSE-SIMP,9971,10011,9940,9947,5570
665,NSE-ZABA,10509,10509,10461,10487,734
665,NSE-ZITO,7113,7140,7102,7122,1797
666,NSE-CARD,9437,9501,9435,9480,5542
666,NSE-DLKV,8967,8998,8956,8998,1679
666,NSE-OIT,9187,9284,9185,9237,1628
666,NSE-SIMP,9949,9976,9927,9936,5253
666,NSE-ZABA,10487,10508,10479,10490,644
666,NSE-ZITO,7128,7137,7104,7106,2736
667,NSE-CARD,9474,9721,9461,9699,8854
667,NSE-DLKV,8998,9039,8997,9033,2710
667,NSE-OIT,9235,9272,9233,9269,2532
667,NSE-SIMP,9945,10012,9934,9949,7457
667,NSE-ZABA,10485,10567,10461,10550,1519
667,NSE-ZITO,7107,7138,7101,7135,1877
668,NSE-CARD,9711,9729,9486,9516,4573
668,NSE-DLKV,9049,9051,8987,8987,2051
668,NSE-OIT,9270,9277,9213,9214,1437
668,NSE-SIMP,9949,9977,9941,9945,2190
668,NSE-ZABA,10536,10536,10446,10446,768
668,NSE-ZITO,7139,7156,7128,7131,2187
669,NSE-CARD,9485,9783,9476,9759,6581
669,NSE-DLKV,8987,9016,8968,8991,2190
669,NSE-OIT,9223,9244,9205,9220,1868
669,NSE-SIMP,9960,9992,9933,9954,4830
669,NSE-ZABA,10433,10466,10418,10462,1916
669,NSE-ZITO,7151,7151,7124,7132,2035
670,NSE-CARD,9773,9926,9505,9761,9840
670,NSE-DLKV,8992,8992,8921,8925,1680
670,NSE-OIT,9220,9223,9115,9129,2736
670,NSE-SIMP,9946,9982,9940,9972,6276
670,NSE-ZABA,10447,10480,10425,10472,923
670,NSE-ZITO,7137,7148,7120,7143,1487
671,NSE-CARD,9777,9960,9737,9929,3678
671,NSE-DLKV,8924,8953,8924,8950,1095
671,NSE-OIT,9122,9148,9115,9117,1036
671,NSE-SIMP,9966,9999,9963,9994,5212
671,NSE-ZABA,10473,10473,10427,10427,724
671,NSE-ZITO,7138,7150,7131,7138,1952
672,NSE-CARD,9958,9966,9766,9769,5443
672,NSE-DLKV,8935,8936,8899,8899,1412
672,NSE-OIT,9132,9140,9101,9104,1757
672,NSE-SIMP,9988,10022,9969,9996,4088
672,NSE-ZABA,10443,10449,10408,10449,950
672,NSE-ZITO,7125,7125,7104,7112,1141
673,NSE-CARD,9782,10008,9764,10008,4476
673,NSE-DLKV,8883,8893,8860,8872,2069
673,NSE-OIT,9098,9130,9088,9101,1148
673,NSE-SIMP,10003,10025,9969,9969,4838
673,NSE-ZABA,10451,10451,10401,10425,1228
673,NSE-ZITO,7108,7125,7090,7104,2096
674,NSE-CARD,10016,10237,9760,9760,6990
674,NSE-DLKV,8881,8959,8881,8933,4853
674,NSE-OIT,9102,9138,9099,9134,2940
674,NSE-SIMP,9967,9999,9954,9978,6232
674,NSE-ZABA,10423,10495,10421,10469,2057
674,NSE-ZITO,7118,7152,7116,7133,3125
675,NSE-CARD,9771,9789,9522,9526,10219
675,NSE-DLKV,8942,8942,8908,8923,3761
675,NSE-OIT,9140,9182,9140,9178,3637
675,NSE-SIMP,9988,10008,9940,9971,9130
675,NSE-ZABA,10465,10505,10445,10497,1643
675,NSE-ZITO,7132,7140,7106,7118,5113
676,NSE-CARD,9543,9835,9505,9788,8436
676,NSE-DLKV,8935,9004,8934,8989,3249
676,NSE-OIT,9174,9231,9174,9206,2255
676,NSE-SIMP,9994,10017,9927,9995,11259
676,NSE-ZABA,10479,10494,10434,10442,1768
676,NSE-ZITO,7127,7136,7110,7118,4479
677,NSE-CARD,9800,9957,9790,9870,10648
677,NSE-DLKV,8973,8999,8964,8978,3211
677,NSE-OIT,9206,9246,9175,9176,4413
677,NSE-SIMP,9995,10030,9970,10004,7728
677,NSE-ZABA,10429,10452,10399,10442,2631
677,NSE-ZITO,7123,7156,7113,7138,5164
678,NSE-CARD,9884,10178,9508,10150,7553
678,NSE-DLKV,8978,8992,8962,8992,3540
678,NSE-OIT,9175,9261,9161,9186,3614
678,NSE-SIMP,10005,10017,9961,9981,7790
678,NSE-ZABA,10439,10443,10411,10427,2003
678,NSE-ZITO,7129,7148,7123,7135,5037
679,NSE-CARD,10165,10184,10104,10114,2927
679,NSE-DLKV,8978,9005,8970,8989,2797
679,NSE-OIT,9182,9204,9148,9154,4065
679,NSE-SIMP,9987,10021,9923,10007,10725
679,NSE-ZABA,10427,10435,10404,10420,3400
679,NSE-ZITO,7141,7152,7129,7143,3681
680,NSE-CARD,10121,10179,10117,10177,2078
680,NSE-DLKV,8988,9006,8966,8971,3203
680,NSE-OIT,9189,9207,9174,9174,3994
680,NSE-SIMP,10011,10042,9916,9999,10872
680,NSE-ZABA,10393,10448,10369,10435,4019
680,NSE-ZITO,7134,7144,7127,7144,3818
681,NSE-CARD,10162,10336,10135,10315,2570
681,NSE-DLKV,8966,8970,8947,8963,1589
681,NSE-OIT,9181,9266,9174,9251,4252
681,NSE-SIMP,10004,10010,9916,10006,6898
681,NSE-ZABA,10426,10432,10375,10377,5679
681,NSE-ZITO,7141,7165,7131,7142,2550
682,NSE-CARD,10312,10338,10280,10311,5185
682,NSE-DLKV,8964,8988,8939,8987,1896
682,NSE-OIT,9280,9299,9257,9273,2239
682,NSE-SIMP,10003,10006,9914,9997,8011
682,NSE-ZABA,10376,10470,10372,10421,2989
682,NSE-ZITO,7139,7167,7125,7163,2002
683,NSE-CARD,10319,10331,10164,10183,4824
683,NSE-DLKV,8987,9031,8981,9031,2161
683,NSE-OIT,9273,9276,9240,9243,1942
683,NSE-SIMP,10003,10047,9988,10002,10994
683,NSE-ZABA,10421,10444,10404,10417,2727
683,NSE-ZITO,7151,7166,7140,7159,4288
684,NSE-CARD,10176,10202,10044,10052,6752
684,NSE-DLKV,9032,9032,8966,8968,1843
684,NSE-OIT,9259,9281,9251,9266,1623
684,NSE-SIMP,10012,10014,9963,9987,6909
684,NSE-ZABA,10407,10440,10398,10416,2176
684,NSE-ZITO,7168,7188,7155,7163,2074
685,NSE-CARD,10045,10057,9858,9868,5729
685,NSE-DLKV,8969,9003,8968,8995,1414
685,NSE-OIT,9270,9277,9245,9266,1904
685,NSE-SIMP,10002,10002,9971,9979,4517
685,NSE-ZABA,10416,10469,10415,10432,1876
685,NSE-ZITO,7163,7165,7131,7133,4437
686,NSE-CARD,9870,10023,9833,10000,5419
686,NSE-DLKV,9010,9029,8989,9029,1213
686,NSE-OIT,9256,9256,9205,9218,3664
686,NSE-SIMP,9977,9994,9961,9979,6235
686,NSE-ZABA,10433,10436,10399,10426,1515
686,NSE-ZITO,7170,7172,7125,7145,3486
687,NSE-CARD,10003,10004,9957,9978,2885
687,NSE-DLKV,9025,9042,9005,9022,1241
687,NSE-OIT,9212,9261,9210,9239,1942
687,NSE-SIMP,9968,9991,9898,9970,8089
687,NSE-ZABA,10426,10490,10426,10480,2426
687,NSE-ZITO,7143,7162,7116,7116,4594
688,NSE-CARD,9946,10167,9944,10132,6727
688,NSE-DLKV,9017,9039,9012,9025,2710
688,NSE-OIT,9243,9244,9219,9241,2137
688,NSE-SIMP,9964,10056,9806,10056,10234
688,NSE-ZABA,10486,10543,10477,10531,4167
688,NSE-ZITO,7134,7148,7122,7148,3911
689,NSE-CARD,10124,10148,9949,9959,8295
689,NSE-DLKV,9030,9099,9026,9096,4145
689,NSE-OIT,9254,9290,9243,9254,1767
689,NSE-SIMP,10002,10056,9974,9990,11606
689,NSE-ZABA,10531,10563,10486,10512,2882
689,NSE-ZITO,7140,7155,7135,7140,3868
690,NSE-CARD,9958,9967,9849,9881,7981
690,NSE-DLKV,9098,9122,9081,9103,2707
690,NSE-OIT,9265,9309,9257,9294,2448
690,NSE-SIMP,10010,10029,9973,10028,6419
690,NSE-ZABA,10512,10606,10470,10591,3898
690,NSE-ZITO,7140,7210,7134,7196,2658
691,NSE-CARD,9880,9881,9638,9664,6904
691,NSE-DLKV,9099,9102,9058,9094,2050
691,NSE-OIT,9308,9330,9297,9300,1822
691,NSE-SIMP,10009,10009,9969,9979,6437
691,NSE-ZABA,10573,10644,10569,10620,2225
691,NSE-ZITO,7204,7204,7180,7198,1847
692,NSE-CARD,9681,9877,9484,9498,9906
692,NSE-DLKV,9095,9125,9087,9125,2326
692,NSE-OIT,9308,9341,9298,9339,1274
692,NSE-SIMP,9989,10002,9957,9964,7140
692,NSE-ZABA,10615,10650,10610,10618,1997
692,NSE-ZITO,7191,7225,7188,7222,2396
693,NSE-CARD,9494,9503,9424,9446,7480
693,NSE-DLKV,9127,9185,9120,9121,2040
693,NSE-OIT,9342,9388,9342,9388,1387
693,NSE-SIMP,9960,10001,9953,9992,7831
693,NSE-ZABA,10641,10647,10591,10600,2307
